route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_1668,1668,bus,A45B,CEMENT ROAD To ANNA SQUARE,3
bus_1670,1670,bus,A45B,GUINDY TVK ESTATE To ANNA SQUARE,3
bus_1672,1672,bus,D70C,GUINDY TVK ESTATE To AMBATTUR I.E,3
bus_1673,1673,bus,76CT,VELACHERY B.T To GUINDY TVK ESTATE,3
bus_1675,1675,bus,D70X,VELACHERY RAILWAY STATION To AMBATTUR INDUSTRIAL ESTATE B.T,3
bus_1676,1676,bus,D70X,VELACHERY MRTS To CEMENT ROAD,3
bus_1678,1678,bus,E18,CEMENT ROAD To BROADWAY,3
bus_1684,1684,bus,M1CT,NANGANALLUR To CEMENT ROAD,3
bus_1685,1685,bus,M1CT,NANGANALLUR To THIRUVANMIYUR,3
bus_1690,1690,bus,M1A,KEELKATTALAI To CEMENT ROAD ALANDUR,3
bus_1691,1691,bus,M1A,KEELKATTALAI To THIRUVANMIYUR B.T,3
bus_1694,1694,bus,M51,PRATHYANGIRA DEVI TEMPLE To CEMENT ROAD,3
bus_1695,1695,bus,M51,THYAGARAYA NAGAR BUS TERMINUS To EZHIL NAGAR PRATYANGIRA TEMPLE,3
bus_1702,1702,bus,N45B,MOOVARASANPET To BROADWAY,3
bus_1704,1704,bus,S12,GUINDY R.S To CEMENT ROAD,3
bus_1707,1707,bus,S69,KUNDRATHUR B.T To CHENNAI AIRPORT METRO,3
bus_1709,1709,bus,S74,KEELKATTALAI To ALANDUR DEPOT,3
bus_1711,1711,bus,S74,PALLAVARAM RAILWAY STATION To KEELKATTALAI,3
bus_1716,1716,bus,S82,MADIPAKKAM B.T To ALANDUR METRO R.S,3
bus_1718,1718,bus,S83,GURU NANAK COLLEGE To ALANDUR METRO R.S,3
bus_1720,1720,bus,S84,PORUR JUNCTION To ALANDUR METRO R.S,3
bus_1721,1721,bus,51CT,LITTLE MOUNT To THYAGARAYA NAGAR BURKIT ROAD,3
bus_1724,1724,bus,154CT,POONAMALLEE B.T To SAIDAPET,3
bus_1727,1727,bus,154E,EKKATTUTHANGAL To VELLAVEDU,3
bus_1728,1728,bus,154E,VELLAVEDU To EKKATTUTHANGAL,3
bus_1731,1731,bus,154E,SAIDAPET To VELLAVEDU,3
bus_1732,1732,bus,154E,VELLAVEDU To SAIDAPET,3
bus_1735,1735,bus,18A,SAIDAPET To TAMBARAM WEST,3
bus_1736,1736,bus,18A,TAMBARAM WEST To SAIDAPET,3
bus_1737,1737,bus,18B,BROADWAY To KOTTURPURAM,3
bus_1738,1738,bus,18B,KOTTURPURAM To BROADWAY,3
